project,repo_name,repo_archived,repo_gone,month,outcome,author_association,author_pseud,size_lines,files_touched,review_count,hours_to_first_review,hours_to_merge
moby,buildkit,f,f,2023-08-01,merged,MEMBER,af5c6dc4c,7,1,1,0,5
moby,buildkit,f,f,2023-08-01,closed,MEMBER,ad28e9a8f,35,1,1,0,
moby,buildkit,f,f,2023-08-01,closed,MEMBER,afdafcebc,127,8,0,,
moby,buildkit,f,f,2023-08-01,merged,MEMBER,af5c6dc4c,9,3,2,0,1
moby,buildkit,f,f,2023-08-01,merged,MEMBER,afdafcebc,87,8,4,7,69
moby,buildkit,f,f,2023-08-01,closed,COLLABORATOR,a45bdb06c,286,4,18,508,
moby,buildkit,f,f,2023-08-01,merged,COLLABORATOR,a45bdb06c,286,5,25,113,2772
moby,buildkit,f,f,2023-08-01,merged,MEMBER,ad28e9a8f,57754,345,2,3946,3972
moby,buildkit,f,f,2023-08-01,merged,MEMBER,a665e4470,4,1,1,0,2
moby,buildkit,f,f,2023-08-01,merged,MEMBER,a665e4470,2,1,2,2,6
moby,buildkit,f,f,2023-08-01,merged,MEMBER,ad28e9a8f,42,5,2,18,22
moby,buildkit,f,f,2023-08-01,closed,MEMBER,a665e4470,20,2,0,,
moby,buildkit,f,f,2023-08-01,merged,MEMBER,a665e4470,0,1,1,1,1
moby,buildkit,f,f,2023-08-01,merged,CONTRIBUTOR,acb162d44,2,1,1,0,0
moby,buildkit,f,f,2023-08-01,merged,MEMBER,ad28e9a8f,12,2,1,28,29
moby,buildkit,f,f,2023-08-01,merged,MEMBER,ad28e9a8f,120,3,1,22,24
moby,buildkit,f,f,2023-08-01,merged,MEMBER,a665e4470,3,1,1,43,43
moby,buildkit,f,f,2023-08-01,merged,MEMBER,afd612ab4,12,5,1,2,12
moby,buildkit,f,f,2023-08-01,merged,MEMBER,a665e4470,468,9,12,23,219
moby,buildkit,f,f,2023-08-01,closed,CONTRIBUTOR,a91c4d9a0,30,5,17,3,
moby,buildkit,f,f,2023-08-01,closed,MEMBER,a665e4470,1083,9,1,323,
moby,buildkit,f,f,2023-08-01,merged,MEMBER,a665e4470,673,12,10,0,21
moby,buildkit,f,f,2023-08-01,merged,MEMBER,a665e4470,1434,22,31,0,3625
moby,buildkit,f,f,2023-08-01,merged,NONE,ac983f0b0,154,9,9,14,5348
moby,buildkit,f,f,2023-08-01,merged,MEMBER,a665e4470,9,1,1,146,146
moby,buildkit,f,f,2023-08-01,merged,MEMBER,a665e4470,5,1,1,0,0
moby,buildkit,f,f,2023-08-01,merged,MEMBER,a665e4470,2,1,1,0,9
moby,buildkit,f,f,2023-08-01,merged,MEMBER,ad28e9a8f,2,1,1,0,1
