project,repo_name,repo_archived,repo_gone,prs_in_window,months_with_prs,first_month,last_month
moby,moby,f,f,5149,36,2023-08-01,2026-07-01
moby,buildkit,f,f,1963,36,2023-08-01,2026-07-01
moby,buildkit-bench,f,f,482,24,2024-08-01,2026-07-01
moby,sys,f,f,96,20,2023-08-01,2026-07-01
moby,swarmkit,f,f,96,27,2023-08-01,2026-07-01
moby,go-archive,f,f,92,8,2025-04-01,2026-07-01
moby,vpnkit,f,f,41,16,2023-10-01,2026-06-01
moby,profiles,f,f,35,10,2025-07-01,2026-07-01
moby,policy-helpers,f,f,32,9,2025-10-01,2026-07-01
moby,spdystream,f,f,15,5,2024-01-01,2026-06-01
moby,term,f,f,11,5,2025-01-01,2026-04-01
moby,patternmatcher,f,f,7,3,2024-08-01,2026-03-01
moby,locker,f,f,4,2,2025-01-01,2025-05-01
moby,pubsub,f,f,3,1,2026-03-01,2026-03-01
moby,libnetwork,f,f,2,2,2023-10-01,2025-04-01
moby,mobywebsite,f,f,2,1,2023-11-01,2023-11-01
moby,busybox,f,f,1,1,2024-03-01,2024-03-01
moby,ipvs,f,f,1,1,2024-02-01,2024-02-01
moby,containerd,f,f,1,1,2026-05-01,2026-05-01
moby,docker-image-spec,f,f,1,1,2024-02-01,2024-02-01
moby,hyperkit,f,f,0,0,,
moby,octoguard,t,f,0,0,,
moby,go-swagger,f,f,0,0,,
moby,docker-ci-zap,f,f,0,0,,
moby,flaky-ci-reports,f,f,0,0,,
moby,extensions,f,f,0,0,,
moby,qemu,f,f,0,0,,
moby,docker-tdmgcc,f,f,0,0,,
moby,datakit,t,f,0,0,,
moby,tsc,f,f,0,0,,
moby,docker-signal,f,f,0,0,,
moby,tool,t,f,0,0,,
moby,libentitlement,t,f,0,0,,
moby,datakit.logs,t,f,0,0,,
pantsbuild,pants,f,f,3123,36,2023-08-01,2026-07-01
pantsbuild,pantsbuild.org,f,f,436,32,2023-12-01,2026-07-01
pantsbuild,scie-pants,f,f,246,32,2023-08-01,2026-07-01
pantsbuild,example-python,f,f,25,19,2023-08-01,2026-04-01
pantsbuild,actions,f,f,21,17,2023-08-01,2026-07-01
pantsbuild,example-docker,f,f,20,13,2023-09-01,2026-02-01
pantsbuild,example-golang,f,f,16,12,2023-09-01,2026-02-01
pantsbuild,example-jvm,f,f,15,12,2023-09-01,2026-02-01
pantsbuild,example-javascript,f,f,15,13,2023-09-01,2026-02-01
pantsbuild,example-codegen,f,f,14,11,2023-09-01,2026-02-01
pantsbuild,example-kotlin,f,f,14,13,2023-09-01,2026-02-01
pantsbuild,example-visibility,f,f,14,13,2023-09-01,2026-03-01
pantsbuild,example-adhoc,f,f,14,11,2023-08-01,2026-02-01
pantsbuild,example-django,f,f,14,12,2023-09-01,2026-02-01
pantsbuild,example-serverless,f,f,12,9,2023-12-01,2026-02-01
pantsbuild,setup,f,f,6,6,2023-11-01,2026-04-01
pantsbuild,homebrew-tap,f,f,6,3,2025-11-01,2026-06-01
pantsbuild,wheels.pantsbuild.org,f,f,5,2,2024-12-01,2025-02-01
pantsbuild,example-workspace-execution,f,f,5,4,2024-11-01,2026-02-01
pantsbuild,v2.pantsbuild.org,f,f,1,1,2026-02-01,2026-02-01
pantsbuild,jarjar,t,f,0,0,,
pantsbuild,jmake,t,f,0,0,,
pantsbuild,lmdb-rs,f,f,0,0,,
pantsbuild,logo,f,f,0,0,,
pantsbuild,maven-repo,t,f,0,0,,
pantsbuild,node-preinstalled-modules,t,f,0,0,,
pantsbuild,notify,f,f,0,0,,
pantsbuild,pantsbuild.github.io,t,f,0,0,,
pantsbuild,pants-jupyter-plugin,f,f,0,0,,
pantsbuild,rbe-token-server,t,f,0,0,,
pantsbuild,requirements-perf,f,f,0,0,,
pantsbuild,reqwest,t,f,0,0,,
pantsbuild,ripgrep,f,f,0,0,,
pantsbuild,rust-cpython,t,f,0,0,,
pantsbuild,rustls,t,f,0,0,,
pantsbuild,rust-protobuf,t,f,0,0,,
pantsbuild,rust-www,t,f,0,0,,
pantsbuild,thrift-0.5.0-finagle,t,f,0,0,,
pantsbuild,tokio-connect,t,f,0,0,,
pantsbuild,tower,t,f,0,0,,
pantsbuild,tower-grpc,t,f,0,0,,
pantsbuild,tower-h2,t,f,0,0,,
pantsbuild,tower-http,t,f,0,0,,
pantsbuild,tree-sitter-dockerfile,f,f,0,0,,
pantsbuild,vim-pants,t,f,0,0,,
pantsbuild,zincutils,t,f,0,0,,
pantsbuild,binaries,f,f,0,0,,
pantsbuild,blog.pantsbuild.org,f,f,0,0,,
pantsbuild,cargo-ensure-prefix,t,f,0,0,,
pantsbuild,codegen,t,f,0,0,,
pantsbuild,console,t,f,0,0,,
pantsbuild,example-plugin,t,f,0,0,,
pantsbuild,flake8-pantsbuild,t,f,0,0,,
pantsbuild,futures-timer,t,f,0,0,,
pantsbuild,grpc,t,f,0,0,,
pantsbuild,grpc-rs,t,f,0,0,,
pantsbuild,indexed-classloader,t,f,0,0,,
pantsbuild,intellij-pants-plugin,f,f,0,0,,
pantsbuild,issues-1751,t,f,0,0,,
pantsbuild,issues-1779,t,f,0,0,,
pantsbuild,issues-2566,t,f,0,0,,
pantsbuild,issues-3174,t,f,0,0,,
pantsbuild,issues-3417,t,f,0,0,,
pantsbuild,issues-9177,t,f,0,0,,
pantsbuild,ivy,t,f,0,0,,
pytorch,pytorch,f,f,60365,36,2023-08-01,2026-07-01
pytorch,executorch,f,f,18968,36,2023-08-01,2026-07-01
pytorch,FBGEMM,f,f,4072,36,2023-08-01,2026-07-01
pytorch,ao,f,f,3795,33,2023-11-01,2026-07-01
pytorch,test-infra,f,f,3456,36,2023-08-01,2026-07-01
pytorch,torchtitan,f,f,3255,31,2024-01-01,2026-07-01
