project,repo_name,month,prs_opened,prs_merged,share_merged,median_hours_to_merge,median_size_lines,active_authors
moby,buildkit,2023-08-01,63,52,0.825,21.5,20,16
moby,buildkit,2023-09-01,46,37,0.804,20,29,21
moby,buildkit,2023-10-01,67,56,0.836,45.5,44,24
moby,buildkit,2023-11-01,35,26,0.743,62,30,25
moby,buildkit,2023-12-01,36,24,0.667,33.5,107.5,15
moby,buildkit,2024-01-01,64,59,0.922,7,18.5,18
moby,buildkit,2024-02-01,85,70,0.824,9,49,23
moby,buildkit,2024-03-01,53,43,0.811,19,37,14
moby,buildkit,2024-04-01,45,42,0.933,20,15,18
moby,buildkit,2024-05-01,49,42,0.857,53.5,49,20
moby,buildkit,2024-06-01,87,76,0.874,15.5,45,18
moby,buildkit,2024-07-01,66,59,0.894,18,66,17
moby,buildkit,2024-08-01,55,44,0.800,52.5,51,18
moby,buildkit,2024-09-01,66,53,0.803,24,31.5,20
moby,buildkit,2024-10-01,69,57,0.826,28,46,22
moby,buildkit,2024-11-01,52,46,0.885,24,50.5,16
moby,buildkit,2024-12-01,37,32,0.865,83,69,14
moby,buildkit,2025-01-01,49,41,0.837,15,23,12
moby,buildkit,2025-02-01,56,48,0.857,16,27,12
moby,buildkit,2025-03-01,57,45,0.789,31,31,15
moby,buildkit,2025-04-01,46,32,0.696,26.5,107.5,16
moby,buildkit,2025-05-01,35,29,0.829,9,28,12
moby,buildkit,2025-06-01,33,30,0.909,12.5,75,13
moby,buildkit,2025-07-01,34,21,0.618,160,22.5,19
moby,buildkit,2025-08-01,27,23,0.852,22,78,8
moby,buildkit,2025-09-01,59,51,0.864,23,9,18
moby,buildkit,2025-10-01,47,42,0.894,28.5,54,11
moby,buildkit,2025-11-01,51,41,0.804,36,67,16
moby,buildkit,2025-12-01,30,24,0.800,28,42.5,16
moby,buildkit,2026-01-01,43,30,0.698,9,31,14
moby,buildkit,2026-02-01,27,21,0.778,20,59,12
moby,buildkit,2026-03-01,80,58,0.725,14.5,63,14
moby,buildkit,2026-04-01,80,55,0.688,24,25.5,19
moby,buildkit,2026-05-01,73,55,0.753,36,22,22
moby,buildkit,2026-06-01,88,72,0.818,12.5,30.5,17
moby,buildkit,2026-07-01,73,58,0.795,13.5,35,17
moby,buildkit-bench,2024-08-01,30,28,0.933,1,95,1
moby,buildkit-bench,2024-09-01,106,102,0.962,0,34,3
moby,buildkit-bench,2024-10-01,14,10,0.714,1,117,2
moby,buildkit-bench,2024-11-01,21,13,0.619,71,38,3
moby,buildkit-bench,2024-12-01,11,9,0.818,12,8,3
moby,buildkit-bench,2025-01-01,14,9,0.643,5,20.5,3
moby,buildkit-bench,2025-02-01,13,11,0.846,38,9,4
moby,buildkit-bench,2025-03-01,19,11,0.579,48,18,3
moby,buildkit-bench,2025-04-01,9,4,0.444,234.5,28,2
moby,buildkit-bench,2025-05-01,18,13,0.722,34,87.5,2
moby,buildkit-bench,2025-06-01,17,16,0.941,14,21,3
moby,buildkit-bench,2025-07-01,14,12,0.857,75.5,37,2
moby,buildkit-bench,2025-08-01,10,8,0.800,26,21,2
moby,buildkit-bench,2025-09-01,13,13,1.000,157,14,2
moby,buildkit-bench,2025-10-01,16,13,0.813,19,13.5,3
moby,buildkit-bench,2025-11-01,28,22,0.786,43,9,3
moby,buildkit-bench,2025-12-01,8,8,1.000,593,12,1
moby,buildkit-bench,2026-01-01,12,7,0.583,421,71,3
moby,buildkit-bench,2026-02-01,13,12,0.923,90,16,2
moby,buildkit-bench,2026-03-01,23,21,0.913,353,14,2
moby,buildkit-bench,2026-04-01,8,4,0.500,1382,36,1
moby,buildkit-bench,2026-05-01,6,3,0.500,111,178.5,2
moby,buildkit-bench,2026-06-01,24,19,0.792,3,105,2
moby,buildkit-bench,2026-07-01,35,34,0.971,10,12,4
moby,busybox,2024-03-01,1,1,1.000,313,13,1
moby,containerd,2026-05-01,1,0,0.000,,9,1
moby,docker-image-spec,2024-02-01,1,1,1.000,2,4,1
moby,go-archive,2025-04-01,12,11,0.917,41,24.5,2
moby,go-archive,2025-08-01,1,0,0.000,,0,1
moby,go-archive,2025-12-01,3,3,1.000,1,6,1
moby,go-archive,2026-03-01,1,1,1.000,1514,22,1
moby,go-archive,2026-04-01,1,1,1.000,10,31,1
moby,go-archive,2026-05-01,8,5,0.625,1108,129,2
moby,go-archive,2026-06-01,1,0,0.000,,162,1
moby,go-archive,2026-07-01,65,54,0.831,2,20,5
moby,ipvs,2024-02-01,1,0,0.000,,25,1
moby,libnetwork,2023-10-01,1,1,1.000,24,11,1
moby,libnetwork,2025-04-01,1,0,0.000,,233,1
moby,locker,2025-01-01,1,0,0.000,,91,1
moby,locker,2025-05-01,3,2,0.667,164.5,282,1
moby,moby,2023-08-01,197,175,0.888,32,27,20
moby,moby,2023-09-01,136,114,0.838,19.5,30,21
moby,moby,2023-10-01,117,106,0.906,20,25,19
moby,moby,2023-11-01,70,63,0.900,18,26.5,18
moby,moby,2023-12-01,87,72,0.828,30,36,17
moby,moby,2024-01-01,193,170,0.881,5,31,19
moby,moby,2024-02-01,107,96,0.897,16.5,42,21
moby,moby,2024-03-01,105,89,0.848,6,22,21
moby,moby,2024-04-01,77,66,0.857,20,41,22
