project,repo_name,month,outcome,author_association,author_pseud,size_lines,files_touched,review_count,hours_to_first_review,hours_to_merge
moby,buildkit,2023-08-01,merged,MEMBER,afdafcebc,2112,84,5,136,217
moby,buildkit,2023-08-01,merged,MEMBER,a665e4470,2,1,2,2,6
moby,buildkit,2023-08-01,merged,MEMBER,a665e4470,468,9,12,23,219
moby,buildkit,2023-08-01,closed,CONTRIBUTOR,a91c4d9a0,30,5,17,3,
moby,buildkit,2023-08-01,merged,COLLABORATOR,a2ad2592d,171,6,5,59,65
moby,buildkit,2023-08-01,merged,CONTRIBUTOR,aa54ce3f9,11,3,5,0,3
moby,buildkit,2023-09-01,closed,COLLABORATOR,a311b5f88,2854,38,0,,
moby,buildkit,2023-09-01,merged,CONTRIBUTOR,adbbea4f9,2,1,1,20,159
moby,buildkit,2023-09-01,closed,CONTRIBUTOR,a619ab9b4,45,7,1,14,
moby,buildkit,2023-09-01,merged,COLLABORATOR,a9a258f36,7,1,1,2,5
moby,buildkit,2023-09-01,merged,NONE,ab3a02eae,274,4,30,32,1167
moby,buildkit,2023-09-01,merged,MEMBER,a665e4470,15,1,2,0,11
moby,buildkit,2023-09-01,merged,CONTRIBUTOR,aa9e44c53,2,1,5,6,20
moby,buildkit,2023-09-01,merged,CONTRIBUTOR,aa9e44c53,2,1,1,7,7
moby,buildkit,2023-10-01,merged,MEMBER,af5c6dc4c,60,3,1,130,130
moby,buildkit,2023-10-01,merged,COLLABORATOR,af1f4312a,6,1,3,3,8
moby,buildkit,2023-10-01,merged,COLLABORATOR,a169a456a,2,1,1,2,2
moby,buildkit,2023-10-01,closed,COLLABORATOR,a169a456a,1401,44,0,,
moby,buildkit,2023-10-01,closed,MEMBER,ad28e9a8f,31563,281,0,,
moby,buildkit,2023-10-01,merged,MEMBER,ad28e9a8f,10,4,1,16,16
moby,buildkit,2023-10-01,merged,MEMBER,af5c6dc4c,11,1,2,9,72
moby,buildkit,2023-10-01,merged,MEMBER,ad28e9a8f,2,1,1,0,4
moby,buildkit,2023-10-01,merged,CONTRIBUTOR,a2e93cfa4,2,1,2,0,5
moby,buildkit,2023-10-01,merged,COLLABORATOR,a169a456a,4,1,1,5,5
moby,buildkit,2023-10-01,closed,CONTRIBUTOR,a619ab9b4,4296,139,0,,
moby,buildkit,2023-11-01,closed,NONE,ad9b0591f,5,1,0,,
moby,buildkit,2023-11-01,merged,CONTRIBUTOR,a5f894ba5,33,9,3,16,130
moby,buildkit,2023-11-01,merged,NONE,ac88368b3,2,1,3,0,6
moby,buildkit,2023-12-01,merged,COLLABORATOR,a2ad2592d,493,6,2,2926,2929
moby,buildkit,2023-12-01,merged,MEMBER,af5c6dc4c,500,59,12,11,186
moby,buildkit,2023-12-01,closed,CONTRIBUTOR,a65d9d1bf,1406,11,1,25,
moby,buildkit,2023-12-01,merged,COLLABORATOR,a680facbc,315,25,25,0,59
moby,buildkit,2023-12-01,closed,CONTRIBUTOR,a619ab9b4,1719,400,1,17,
moby,buildkit,2023-12-01,closed,NONE,a9adc2b77,1719,400,1,166,
moby,buildkit,2024-01-01,merged,MEMBER,af5c6dc4c,181,3,1,363,515
moby,buildkit,2024-01-01,merged,MEMBER,afdafcebc,1193,21,1,103,104
moby,buildkit,2024-01-01,merged,MEMBER,afdafcebc,2,1,1,1,2
moby,buildkit,2024-01-01,merged,CONTRIBUTOR,aa0450d8f,26,1,8,129,2823
moby,buildkit,2024-01-01,merged,CONTRIBUTOR,aac2d5852,600,22,2,63,330
moby,buildkit,2024-01-01,merged,MEMBER,a665e4470,1,1,1,7,7
moby,buildkit,2024-01-01,merged,CONTRIBUTOR,ab3b326a2,10,1,3,6,233
moby,buildkit,2024-02-01,merged,MEMBER,ad28e9a8f,1185,7,1,5,5
moby,buildkit,2024-02-01,merged,COLLABORATOR,a29405abf,29,1,6,0,1
moby,buildkit,2024-02-01,merged,MEMBER,a665e4470,21,3,1,7,7
moby,buildkit,2024-02-01,merged,CONTRIBUTOR,a619ab9b4,2,1,1,9,9
moby,buildkit,2024-02-01,merged,MEMBER,ad28e9a8f,433,23,2,8,9
moby,buildkit,2024-02-01,merged,MEMBER,afd612ab4,185,2,1,15,15
moby,buildkit,2024-02-01,merged,MEMBER,ad28e9a8f,47,1,1,207,207
moby,buildkit,2024-02-01,merged,MEMBER,ad28e9a8f,6,1,2,0,2
moby,buildkit,2024-02-01,closed,MEMBER,afd612ab4,364,13,0,,
moby,buildkit,2024-02-01,merged,COLLABORATOR,a169a456a,85,5,2,19,20
moby,buildkit,2024-02-01,merged,MEMBER,ad28e9a8f,111,8,2,4,7
moby,buildkit,2024-02-01,merged,MEMBER,afd612ab4,11,1,1,8,9
moby,buildkit,2024-02-01,merged,MEMBER,af5c6dc4c,4,1,1,1,1
moby,buildkit,2024-02-01,merged,MEMBER,af5c6dc4c,9,1,1,1,1
moby,buildkit,2024-03-01,merged,COLLABORATOR,a45bdb06c,180,8,2,0,2
moby,buildkit,2024-03-01,merged,MEMBER,afdafcebc,1429,67,2,534,534
moby,buildkit,2024-03-01,merged,MEMBER,af5c6dc4c,107,2,1,19,19
moby,buildkit,2024-04-01,merged,MEMBER,af5c6dc4c,11,1,1,3,3
moby,buildkit,2024-05-01,merged,CONTRIBUTOR,adbbea4f9,138,5,6,8,246
moby,buildkit,2024-05-01,merged,MEMBER,af5c6dc4c,12,3,1,0,18
moby,buildkit,2024-05-01,merged,CONTRIBUTOR,a0124ed10,2,1,1,1,7
moby,buildkit,2024-05-01,merged,COLLABORATOR,a45bdb06c,72,5,2,297,297
moby,buildkit,2024-05-01,merged,MEMBER,a3889aa12,57,2,3,70,111
moby,buildkit,2024-06-01,merged,MEMBER,af5c6dc4c,4,1,1,0,1
moby,buildkit,2024-06-01,merged,MEMBER,afdafcebc,74,9,3,45,52
moby,buildkit,2024-06-01,merged,MEMBER,afdafcebc,113,6,1,29,29
moby,buildkit,2024-06-01,merged,COLLABORATOR,a013aa13b,30,8,1,2,2
moby,buildkit,2024-06-01,closed,CONTRIBUTOR,a619ab9b4,28764,252,0,,
moby,buildkit,2024-06-01,merged,MEMBER,af5c6dc4c,4,1,2,0,4
moby,buildkit,2024-06-01,merged,MEMBER,afd612ab4,35,2,1,1,2
moby,buildkit,2024-06-01,merged,CONTRIBUTOR,ab3b326a2,4,2,2,5,80
moby,buildkit,2024-06-01,merged,MEMBER,af5c6dc4c,110,2,2,0,1
moby,buildkit,2024-06-01,merged,CONTRIBUTOR,a619ab9b4,4,2,1,16,16
moby,buildkit,2024-06-01,merged,MEMBER,afdafcebc,67,7,1,61,61
moby,buildkit,2024-07-01,merged,CONTRIBUTOR,ab0742db9,6,1,1,14,14
moby,buildkit,2024-07-01,merged,MEMBER,ad28e9a8f,2,1,2,0,81
moby,buildkit,2024-07-01,merged,CONTRIBUTOR,afe0ba8a0,111,2,9,139,342
moby,buildkit,2024-07-01,merged,MEMBER,af5c6dc4c,38,2,6,0,1
moby,buildkit,2024-07-01,closed,CONTRIBUTOR,afe0ba8a0,77,2,0,,
moby,buildkit,2024-07-01,merged,MEMBER,afdafcebc,3040,50,2,0,26
moby,buildkit,2024-07-01,merged,MEMBER,afdafcebc,119,19,2,1,2
moby,buildkit,2024-07-01,merged,CONTRIBUTOR,a46403463,20,1,8,180,227
moby,buildkit,2024-08-01,merged,COLLABORATOR,a013aa13b,299,7,10,158,1633
moby,buildkit,2024-08-01,merged,MEMBER,afdafcebc,243,19,4,0,5
moby,buildkit,2024-08-01,merged,COLLABORATOR,a29405abf,4,1,1,7,7
moby,buildkit,2024-08-01,merged,COLLABORATOR,a013aa13b,98,1,2,32,75
moby,buildkit,2024-08-01,merged,MEMBER,af5c6dc4c,30,3,2,1,4
moby,buildkit,2024-08-01,merged,MEMBER,af5c6dc4c,5,1,2,1,2
moby,buildkit,2024-08-01,merged,MEMBER,af5c6dc4c,26,11,3,0,80
moby,buildkit,2024-08-01,merged,MEMBER,af5c6dc4c,5,1,1,1,3
moby,buildkit,2024-08-01,merged,COLLABORATOR,a29405abf,8,1,1,1,1
moby,buildkit,2024-08-01,merged,CONTRIBUTOR,a91c4d9a0,344,7,16,1,438
moby,buildkit,2024-09-01,open,CONTRIBUTOR,abf4fbabe,101,1,10,1,
moby,buildkit,2024-09-01,open,MEMBER,a665e4470,205,9,5,34,
moby,buildkit,2024-09-01,merged,MEMBER,afdafcebc,235,21,2,0,1
moby,buildkit,2024-09-01,merged,COLLABORATOR,a680facbc,163,5,60,33,4186
moby,buildkit,2024-09-01,merged,COLLABORATOR,a29405abf,4,2,1,0,1
moby,buildkit,2024-09-01,merged,COLLABORATOR,a013aa13b,13,1,1,26,26
moby,buildkit,2024-09-01,merged,MEMBER,af5c6dc4c,15,1,4,108,423
moby,buildkit,2024-09-01,closed,CONTRIBUTOR,a069b6cd0,0,0,0,,
moby,buildkit,2024-09-01,merged,MEMBER,afdafcebc,4,2,1,0,1
moby,buildkit,2024-09-01,merged,CONTRIBUTOR,adbc919ee,103,5,2,2,77
moby,buildkit,2024-10-01,merged,COLLABORATOR,a29405abf,62,21,3,0,2
moby,buildkit,2024-10-01,merged,CONTRIBUTOR,abf4fbabe,101,1,19,19,1327
moby,buildkit,2024-10-01,merged,COLLABORATOR,a013aa13b,21,2,1,1,2
moby,buildkit,2024-10-01,merged,CONTRIBUTOR,ae55f3221,1,1,2,0,35
moby,buildkit,2024-10-01,closed,CONTRIBUTOR,a6cca0d87,2,1,0,,
moby,buildkit,2024-10-01,merged,MEMBER,afdafcebc,561,31,1,8,20
moby,buildkit,2024-10-01,merged,COLLABORATOR,a45bdb06c,3,1,1,7,7
moby,buildkit,2024-10-01,merged,COLLABORATOR,a680facbc,48,2,3,191,1307
moby,buildkit,2024-10-01,merged,COLLABORATOR,a29405abf,70,2,2,3,127
moby,buildkit,2024-10-01,merged,MEMBER,afdafcebc,36,2,1,1800,1800
moby,buildkit,2024-10-01,merged,COLLABORATOR,a29405abf,10,1,1,1,1
moby,buildkit,2024-11-01,merged,CONTRIBUTOR,a153e5801,1230,13,46,1,1319
moby,buildkit,2024-11-01,merged,COLLABORATOR,a680facbc,9,2,2,1,102
moby,buildkit,2024-11-01,merged,COLLABORATOR,a29405abf,5,1,1,7,7
moby,buildkit,2024-11-01,merged,MEMBER,ad28e9a8f,3,1,2,3,6
moby,buildkit,2024-11-01,merged,MEMBER,af5c6dc4c,50,5,1,6,10
moby,buildkit,2024-12-01,merged,MEMBER,af5c6dc4c,94,5,2,855,855
moby,buildkit,2024-12-01,open,CONTRIBUTOR,adaeabba9,1822,26,3,4,
moby,buildkit,2024-12-01,merged,MEMBER,af5c6dc4c,466,4,6,4,649
moby,buildkit,2024-12-01,merged,MEMBER,af5c6dc4c,2,1,1,0,4
moby,buildkit,2024-12-01,merged,MEMBER,afdafcebc,327,10,2,20,57
moby,buildkit,2024-12-01,merged,MEMBER,afdafcebc,965,40,1,388,388
moby,buildkit,2024-12-01,merged,MEMBER,afdafcebc,108,4,1,189,189
moby,buildkit,2025-01-01,merged,MEMBER,afdafcebc,536,9,2,13,15
moby,buildkit,2025-01-01,merged,MEMBER,a618fbad9,9,1,2,1,51
moby,buildkit,2025-01-01,merged,MEMBER,ad28e9a8f,2,1,1,0,1
moby,buildkit,2025-02-01,closed,MEMBER,ad28e9a8f,40910,190,0,,
moby,buildkit,2025-02-01,merged,MEMBER,ad28e9a8f,22,3,1,0,1
moby,buildkit,2025-02-01,merged,MEMBER,ad28e9a8f,20,1,1,12,12
moby,buildkit,2025-02-01,merged,CONTRIBUTOR,a65d9d1bf,185,6,5,170,192
moby,buildkit,2025-02-01,merged,MEMBER,af5c6dc4c,31,2,1,17,17
moby,buildkit,2025-02-01,merged,MEMBER,ad28e9a8f,108,5,9,4,10
moby,buildkit,2025-02-01,merged,COLLABORATOR,a45bdb06c,27,1,1,5,27
moby,buildkit,2025-02-01,merged,MEMBER,af5c6dc4c,81,10,1,6,6
moby,buildkit,2025-02-01,merged,MEMBER,af5c6dc4c,45,1,1,81,81
moby,buildkit,2025-03-01,closed,NONE,a04ad30fd,2,1,0,,
moby,buildkit,2025-03-01,merged,MEMBER,af5c6dc4c,18,2,1,12,12
moby,buildkit,2025-03-01,merged,MEMBER,af5c6dc4c,50,2,1,8,8
moby,buildkit,2025-03-01,merged,MEMBER,af5c6dc4c,4,1,1,14,14
moby,buildkit,2025-03-01,merged,MEMBER,af5c6dc4c,936,109,5,0,20
moby,buildkit,2025-03-01,merged,MEMBER,af5c6dc4c,31,1,1,495,498
moby,buildkit,2025-03-01,merged,MEMBER,af5c6dc4c,61,2,1,497,497
moby,buildkit,2025-03-01,merged,MEMBER,af5c6dc4c,131,4,1,473,475
moby,buildkit,2025-03-01,merged,MEMBER,af5c6dc4c,277,29,2,0,480
moby,buildkit,2025-03-01,closed,MEMBER,ad28e9a8f,117,2,0,,
moby,buildkit,2025-04-01,open,NONE,a23982f05,181,4,20,1,
moby,buildkit,2025-04-01,merged,MEMBER,af5c6dc4c,282,9,2,8,9
moby,buildkit,2025-04-01,merged,CONTRIBUTOR,a33d7952c,8,1,3,1,2
moby,buildkit,2025-05-01,merged,MEMBER,af5c6dc4c,965,152,3,1,119
moby,buildkit,2025-05-01,merged,COLLABORATOR,a680facbc,59,6,2,28,36
moby,buildkit,2025-05-01,closed,COLLABORATOR,a680facbc,14,3,0,,
moby,buildkit,2025-05-01,merged,MEMBER,afdafcebc,8,3,1,4,4
moby,buildkit,2025-05-01,closed,MEMBER,afd612ab4,714,9,4,163,
moby,buildkit,2025-05-01,merged,MEMBER,afd612ab4,465,9,14,12,91
moby,buildkit,2025-05-01,merged,CONTRIBUTOR,abd977119,4,1,3,7,9
moby,buildkit,2025-05-01,merged,CONTRIBUTOR,a65d9d1bf,1,1,1,1,1
moby,buildkit,2025-05-01,merged,MEMBER,ad28e9a8f,17,1,1,53,54
moby,buildkit,2025-06-01,merged,MEMBER,af5c6dc4c,75,2,1,2,2
moby,buildkit,2025-06-01,merged,COLLABORATOR,a45bdb06c,13,1,2,0,1
moby,buildkit,2025-06-01,merged,MEMBER,af5c6dc4c,15,4,1,7,7
moby,buildkit,2025-06-01,merged,MEMBER,afdafcebc,1677,25,1,4,4
moby,buildkit,2025-06-01,merged,MEMBER,ad28e9a8f,274,3,2,5,8
moby,buildkit,2025-07-01,closed,NONE,a4c0866aa,9822,97,0,,
moby,buildkit,2025-07-01,open,NONE,aba3ef43b,95,3,4,17,
moby,buildkit,2025-07-01,closed,NONE,a81d7b07a,5,1,8,12,
moby,buildkit,2025-07-01,closed,MEMBER,a1fe9e3d3,79,9,4,13,
moby,buildkit,2025-07-01,merged,MEMBER,ad28e9a8f,24,3,1,28,28
moby,buildkit,2025-08-01,merged,MEMBER,afdafcebc,163,5,1,65,65
moby,buildkit,2025-09-01,merged,MEMBER,ad28e9a8f,12,2,2,7,74
moby,buildkit,2025-09-01,merged,MEMBER,af5c6dc4c,488,8,1,51,51
moby,buildkit,2025-09-01,closed,NONE,a8cbd24b6,2,1,0,,
moby,buildkit,2025-09-01,merged,MEMBER,ad28e9a8f,9,1,5,0,2
moby,buildkit,2025-09-01,merged,MEMBER,af5c6dc4c,239,15,7,4,37
moby,buildkit,2025-09-01,merged,COLLABORATOR,a45bdb06c,70,3,5,1,174
