project,repo_name,month,prs_opened,prs_merged,share_merged,median_hours_to_merge,median_size_lines,active_authors
moby,buildkit,2023-08-01,63,52,0.825,21.5,20,16
moby,buildkit,2023-09-01,46,37,0.804,20,29,21
moby,buildkit,2023-10-01,67,56,0.836,45.5,44,24
moby,buildkit,2023-11-01,35,26,0.743,62,30,25
moby,buildkit,2023-12-01,36,24,0.667,33.5,107.5,15
moby,buildkit,2024-01-01,64,59,0.922,7,18.5,18
moby,buildkit,2024-02-01,85,70,0.824,9,49,23
moby,buildkit,2024-03-01,53,43,0.811,19,37,14
moby,buildkit,2024-04-01,45,42,0.933,20,15,18
moby,buildkit,2024-05-01,49,42,0.857,53.5,49,20
moby,buildkit,2024-06-01,87,76,0.874,15.5,45,18
moby,buildkit,2024-07-01,66,59,0.894,18,66,17
moby,buildkit,2024-08-01,55,44,0.800,52.5,51,18
moby,buildkit,2024-09-01,66,53,0.803,24,31.5,20
moby,buildkit,2024-10-01,69,57,0.826,28,46,22
moby,buildkit,2024-11-01,52,46,0.885,24,50.5,16
moby,buildkit,2024-12-01,37,32,0.865,83,69,14
moby,buildkit,2025-01-01,49,41,0.837,15,23,12
moby,buildkit,2025-02-01,56,48,0.857,16,27,12
moby,buildkit,2025-03-01,57,45,0.789,31,31,15
moby,buildkit,2025-04-01,46,32,0.696,26.5,107.5,16
moby,buildkit,2025-05-01,35,29,0.829,9,28,12
moby,buildkit,2025-06-01,33,30,0.909,12.5,75,13
moby,buildkit,2025-07-01,34,21,0.618,160,22.5,19
moby,buildkit,2025-08-01,27,23,0.852,22,78,8
moby,buildkit,2025-09-01,59,51,0.864,23,9,18
moby,buildkit,2025-10-01,47,42,0.894,28.5,54,11
moby,buildkit,2025-11-01,51,41,0.804,36,67,16
moby,buildkit,2025-12-01,30,24,0.800,28,42.5,16
moby,buildkit,2026-01-01,43,30,0.698,9,31,14
moby,buildkit,2026-02-01,27,21,0.778,20,59,12
moby,buildkit,2026-03-01,80,58,0.725,14.5,63,14
moby,buildkit,2026-04-01,80,55,0.688,24,25.5,19
moby,buildkit,2026-05-01,73,55,0.753,36,22,22
moby,buildkit,2026-06-01,88,72,0.818,12.5,30.5,17
moby,buildkit,2026-07-01,73,58,0.795,13.5,35,17
moby,moby,2023-08-01,197,175,0.888,32,27,20
moby,moby,2023-09-01,136,114,0.838,19.5,30,21
moby,moby,2023-10-01,117,106,0.906,20,25,19
moby,moby,2023-11-01,70,63,0.900,18,26.5,18
moby,moby,2023-12-01,87,72,0.828,30,36,17
moby,moby,2024-01-01,193,170,0.881,5,31,19
moby,moby,2024-02-01,107,96,0.897,16.5,42,21
moby,moby,2024-03-01,105,89,0.848,6,22,21
moby,moby,2024-04-01,77,66,0.857,20,41,22
moby,moby,2024-05-01,57,47,0.825,77,43,16
moby,moby,2024-06-01,162,142,0.877,8.5,46,20
moby,moby,2024-07-01,114,97,0.851,15,25,15
moby,moby,2024-08-01,85,70,0.824,25.5,83,17
moby,moby,2024-09-01,110,96,0.873,9.5,11,24
moby,moby,2024-10-01,189,163,0.862,21,39,24
moby,moby,2024-11-01,145,124,0.855,7,38,19
moby,moby,2024-12-01,137,126,0.920,15,35,22
moby,moby,2025-01-01,158,150,0.949,8,33,17
moby,moby,2025-02-01,108,95,0.880,23,41.5,16
moby,moby,2025-03-01,95,80,0.842,29.5,45,14
moby,moby,2025-04-01,129,109,0.845,44,89,26
moby,moby,2025-05-01,143,115,0.804,24,33,31
moby,moby,2025-06-01,114,97,0.851,43,37,25
moby,moby,2025-07-01,240,205,0.854,17,52.5,27
moby,moby,2025-08-01,214,171,0.799,21,57,23
moby,moby,2025-09-01,156,141,0.904,12,59.5,20
moby,moby,2025-10-01,242,208,0.860,7,67.5,27
moby,moby,2025-11-01,167,151,0.904,4,38,22
moby,moby,2025-12-01,131,105,0.802,9,27,29
moby,moby,2026-01-01,145,111,0.766,12,29,24
moby,moby,2026-02-01,123,92,0.748,28.5,30,24
moby,moby,2026-03-01,126,101,0.802,19,32,30
moby,moby,2026-04-01,186,129,0.694,20,36,27
moby,moby,2026-05-01,161,100,0.621,24,32,32
moby,moby,2026-06-01,198,135,0.682,6,32,40
moby,moby,2026-07-01,225,161,0.716,19,39,34
moby,sys,2023-08-01,4,2,0.500,4637,44,3
moby,sys,2023-09-01,3,2,0.667,19,1344,1
moby,sys,2023-11-01,1,1,1.000,21,8,1
moby,sys,2024-07-01,7,6,0.857,137,102,2
moby,sys,2024-08-01,3,3,1.000,856,30,2
moby,sys,2024-09-01,14,12,0.857,121.5,40.5,2
moby,sys,2024-10-01,10,8,0.800,78.5,30,3
moby,sys,2024-11-01,1,1,1.000,111,38,1
moby,sys,2024-12-01,2,2,1.000,10,106,1
moby,sys,2025-01-01,1,1,1.000,1151,695,1
moby,sys,2025-03-01,1,0,0.000,,6,1
moby,sys,2025-04-01,5,4,0.800,64.5,37,3
moby,sys,2025-06-01,5,5,1.000,18,61,1
moby,sys,2025-08-01,4,3,0.750,23,15.5,2
moby,sys,2025-09-01,2,0,0.000,,324,2
moby,sys,2026-03-01,11,8,0.727,1115,134,3
moby,sys,2026-04-01,3,2,0.667,585,175,2
moby,sys,2026-05-01,2,2,1.000,377.5,92,2
