project,repo_name,prs_in_window,first_month,last_month,ok_not_gone,ok_not_archived,ok_volume,ok_existed,ok_runs_late,activity_rank,selected
moby,moby,5149,2023-08-01,2026-07-01,t,t,t,t,t,1,t
moby,buildkit,1963,2023-08-01,2026-07-01,t,t,t,t,t,2,t
moby,buildkit-bench,482,2024-08-01,2026-07-01,t,t,t,f,t,3,f
moby,sys,96,2023-08-01,2026-07-01,t,t,t,t,t,4,t
moby,swarmkit,96,2023-08-01,2026-07-01,t,t,t,t,t,5,f
moby,go-archive,92,2025-04-01,2026-07-01,t,t,t,f,t,6,f
moby,vpnkit,41,2023-10-01,2026-06-01,t,t,t,t,t,7,f
moby,profiles,35,2025-07-01,2026-07-01,t,t,t,f,t,8,f
moby,policy-helpers,32,2025-10-01,2026-07-01,t,t,t,f,t,9,f
moby,spdystream,15,2024-01-01,2026-06-01,t,t,f,t,t,10,f
moby,term,11,2025-01-01,2026-04-01,t,t,f,t,f,11,f
moby,patternmatcher,7,2024-08-01,2026-03-01,t,t,f,t,f,12,f
moby,locker,4,2025-01-01,2025-05-01,t,t,f,t,f,13,f
moby,pubsub,3,2026-03-01,2026-03-01,t,t,f,t,f,14,f
moby,libnetwork,2,2023-10-01,2025-04-01,t,t,f,t,f,15,f
moby,mobywebsite,2,2023-11-01,2023-11-01,t,t,f,t,f,16,f
moby,ipvs,1,2024-02-01,2024-02-01,t,t,f,t,f,17,f
moby,containerd,1,2026-05-01,2026-05-01,t,t,f,t,f,18,f
moby,busybox,1,2024-03-01,2024-03-01,t,t,f,t,f,19,f
moby,docker-image-spec,1,2024-02-01,2024-02-01,t,t,f,f,f,20,f
moby,octoguard,0,,,t,f,f,t,,21,f
moby,extensions,0,,,t,t,f,f,,22,f
moby,flaky-ci-reports,0,,,t,t,f,f,,23,f
moby,go-swagger,0,,,t,t,f,t,,24,f
moby,qemu,0,,,t,t,f,t,,25,f
moby,tsc,0,,,t,t,f,t,,26,f
moby,libentitlement,0,,,t,f,f,t,,27,f
moby,tool,0,,,t,f,f,t,,28,f
moby,datakit.logs,0,,,t,f,f,t,,29,f
moby,hyperkit,0,,,t,t,f,t,,30,f
moby,datakit,0,,,t,f,f,t,,31,f
moby,docker-tdmgcc,0,,,t,t,f,t,,32,f
moby,docker-ci-zap,0,,,t,t,f,t,,33,f
moby,docker-signal,0,,,t,t,f,t,,34,f
pantsbuild,pants,3123,2023-08-01,2026-07-01,t,t,t,t,t,1,t
pantsbuild,pantsbuild.org,436,2023-12-01,2026-07-01,t,t,t,f,t,2,f
pantsbuild,scie-pants,246,2023-08-01,2026-07-01,t,t,t,t,t,3,t
pantsbuild,example-python,25,2023-08-01,2026-04-01,t,t,t,t,f,4,f
pantsbuild,actions,21,2023-08-01,2026-07-01,t,t,f,t,t,5,f
pantsbuild,example-docker,20,2023-09-01,2026-02-01,t,t,f,t,f,6,f
pantsbuild,example-golang,16,2023-09-01,2026-02-01,t,t,f,t,f,7,f
pantsbuild,example-jvm,15,2023-09-01,2026-02-01,t,t,f,t,f,8,f
pantsbuild,example-javascript,15,2023-09-01,2026-02-01,t,t,f,t,f,9,f
pantsbuild,example-django,14,2023-09-01,2026-02-01,t,t,f,t,f,10,f
pantsbuild,example-kotlin,14,2023-09-01,2026-02-01,t,t,f,t,f,11,f
pantsbuild,example-adhoc,14,2023-08-01,2026-02-01,t,t,f,t,f,12,f
pantsbuild,example-codegen,14,2023-09-01,2026-02-01,t,t,f,t,f,13,f
pantsbuild,example-visibility,14,2023-09-01,2026-03-01,t,t,f,t,f,14,f
pantsbuild,example-serverless,12,2023-12-01,2026-02-01,t,t,f,f,f,15,f
pantsbuild,setup,6,2023-11-01,2026-04-01,t,t,f,t,f,16,f
pantsbuild,homebrew-tap,6,2025-11-01,2026-06-01,t,t,f,t,t,17,f
pantsbuild,wheels.pantsbuild.org,5,2024-12-01,2025-02-01,t,t,f,f,f,18,f
pantsbuild,example-workspace-execution,5,2024-11-01,2026-02-01,t,t,f,f,f,19,f
pantsbuild,v2.pantsbuild.org,1,2026-02-01,2026-02-01,t,t,f,f,f,20,f
pantsbuild,issues-1779,0,,,t,f,f,t,,21,f
pantsbuild,vim-pants,0,,,t,f,f,t,,22,f
pantsbuild,pantsbuild.github.io,0,,,t,f,f,t,,23,f
pantsbuild,ivy,0,,,t,f,f,t,,24,f
pantsbuild,jmake,0,,,t,f,f,t,,25,f
pantsbuild,binaries,0,,,t,t,f,t,,26,f
pantsbuild,intellij-pants-plugin,0,,,t,t,f,t,,27,f
pantsbuild,thrift-0.5.0-finagle,0,,,t,f,f,t,,28,f
pantsbuild,maven-repo,0,,,t,f,f,t,,29,f
pantsbuild,zincutils,0,,,t,f,f,t,,30,f
pantsbuild,jarjar,0,,,t,f,f,t,,31,f
pantsbuild,indexed-classloader,0,,,t,f,f,t,,32,f
pantsbuild,issues-1751,0,,,t,f,f,t,,33,f
pantsbuild,issues-2566,0,,,t,f,f,t,,34,f
pantsbuild,node-preinstalled-modules,0,,,t,f,f,t,,35,f
pantsbuild,issues-3174,0,,,t,f,f,t,,36,f
pantsbuild,issues-3417,0,,,t,f,f,t,,37,f
pantsbuild,rust-www,0,,,t,f,f,t,,38,f
pantsbuild,grpc-rs,0,,,t,f,f,t,,39,f
pantsbuild,lmdb-rs,0,,,t,t,f,t,,40,f
pantsbuild,reqwest,0,,,t,f,f,t,,41,f
pantsbuild,futures-timer,0,,,t,f,f,t,,42,f
pantsbuild,codegen,0,,,t,f,f,t,,43,f
pantsbuild,tokio-connect,0,,,t,f,f,t,,44,f
pantsbuild,tower-grpc,0,,,t,f,f,t,,45,f
pantsbuild,tower-h2,0,,,t,f,f,t,,46,f
pantsbuild,tower-http,0,,,t,f,f,t,,47,f
pantsbuild,tower,0,,,t,f,f,t,,48,f
pantsbuild,rustls,0,,,t,f,f,t,,49,f
pantsbuild,rust-protobuf,0,,,t,f,f,t,,50,f
pantsbuild,rbe-token-server,0,,,t,f,f,t,,51,f
pantsbuild,grpc,0,,,t,f,f,t,,52,f
pantsbuild,flake8-pantsbuild,0,,,t,f,f,t,,53,f
pantsbuild,issues-9177,0,,,t,f,f,t,,54,f
pantsbuild,example-plugin,0,,,t,f,f,t,,55,f
pantsbuild,notify,0,,,t,t,f,t,,56,f
pantsbuild,pants-jupyter-plugin,0,,,t,t,f,t,,57,f
pantsbuild,console,0,,,t,f,f,t,,58,f
pantsbuild,rust-cpython,0,,,t,f,f,t,,59,f
pantsbuild,cargo-ensure-prefix,0,,,t,f,f,t,,60,f
pantsbuild,requirements-perf,0,,,t,t,f,t,,61,f
pantsbuild,logo,0,,,t,t,f,t,,62,f
pantsbuild,ripgrep,0,,,t,t,f,t,,63,f
pantsbuild,blog.pantsbuild.org,0,,,t,t,f,f,,64,f
pantsbuild,tree-sitter-dockerfile,0,,,t,t,f,f,,65,f
